snr,inr,npath_rate,conv_rate
0,0,3.6621836287443035,4.556586953042682
0,5,3.669313665659435,4.399192880581884
0,10,3.659472247468729,3.9708250619381342
0,15,3.6373566157405866,3.1797451630123126
0,20,3.57285609455559,2.1045315794642168
0,25,3.3759419237455397,1.1077108032897574
0,30,2.921696954069517,0.4667316762139475
0,35,2.1305053991165868,0.1679772032143888
0,40,1.2145355190030303,0.05757258429549785
0,45,0.5411449962171437,0.02191200115096984
0,50,0.20558642634432456,0.011120997362218384
0,55,0.0726261462166121,0.008707503925120843
0,60,0.029008972975656376,0.007796715615021277
0,65,0.01370978142801767,0.007538048140790215
0,70,0.009156829694207063,0.006794347714234909
0,75,0.007819367874102832,0.0068346300721761
0,80,0.007950957356353261,0.007816245264204066
5,0,5.248334001763216,6.179056388235419
5,5,5.244166439550835,6.006355396508667
5,10,5.23183236890852,5.568638161231046
5,15,5.214383603325427,4.724490675065436
5,20,5.147456508283771,3.512004437822633
5,25,4.940733355985279,2.2133388054820635
5,30,4.452696123688117,1.1346496886344357
5,35,3.5353751109105422,0.4674229095967747
5,40,2.3752820337032556,0.1640343417974519
5,45,1.2866734523861565,0.05754679440818104
5,50,0.554323063982838,0.021156185604619814
5,55,0.2069800192480304,0.01202319641569877
5,60,0.07190341581433722,0.008223743983436857
5,65,0.027505337770711256,0.007175269379715849
5,70,0.013650683100463327,0.006766383235903584
5,75,0.009715654526924897,0.0074464531767202725
5,80,0.007843805238105248,0.007044363245755625
10,0,6.876391298807006,7.810640048977081
10,5,6.868867771984174,7.641546018255795
10,10,6.872091619667563,7.210131404031905
10,15,6.849448221344974,6.34221872965479
10,20,6.772769282048889,5.078952706579676
10,25,6.562900508057164,3.640410679224463
10,30,6.0554227241540675,2.249193973476243
10,35,5.110323079794005,1.1261351876663972
10,40,3.8319976392403934,0.45277056530590715
10,45,2.465301995496949,0.15564370431708002
10,50,1.3066736158500585,0.053921762923945515
10,55,0.5620554068595875,0.021077664740462992
10,60,0.2091302961213599,0.011999692823352299
10,65,0.07348520769163384,0.008158001003280088
10,70,0.02770759205731188,0.007537949147388689
10,75,0.013791342556470083,0.007843557958625194
10,80,0.008640660506792432,0.0071402886663460485
15,0,8.527486352320325,9.473302335686354
15,5,8.513938127149213,9.284206752663884
15,10,8.518718261024702,8.86407410755561
15,15,8.496253014241876,7.992269948788884
15,20,8.414072225304736,6.711881436979326
15,25,8.21524842237104,5.216158957724427
15,30,7.693686028708429,3.6569960329367603
15,35,6.745108239127353,2.2110111984266068
15,40,5.4176277083626765,1.077508325251712
15,45,3.942244375837382,0.42309750523717293
15,50,2.5024938609131184,0.1444056328687997
15,55,1.3125141578332913,0.04900595100637256
15,60,0.5593409280720238,0.019926218732662176
15,65,0.2035316361019618,0.011562559582706926
15,70,0.0721172315658665,0.009017191366739945
15,75,0.027537078659879297,0.007784150164931045
15,80,0.012576313580147977,0.006825558212171713
20,0,10.136488545500617,11.004325923530107
20,5,10.140569483778322,10.863768853345796
20,10,10.149777252536913,10.4577402004964
20,15,10.131087620725417,9.62253931176304
20,20,10.055613361781981,8.346028048611336
20,25,9.841475241698356,6.818799616779807
20,30,9.340915846937568,5.183646667792264
20,35,8.388441445503194,3.524460842715142
20,40,7.053170240440899,2.035088896284371
20,45,5.536040232834846,0.9699192870685701
20,50,3.975849375253836,0.37832005496353616
20,55,2.515119142824322,0.13728815380132642
20,60,1.3165892445933673,0.04725827413205745
20,65,0.5562936986279059,0.019985200663081452
20,70,0.20187506123939858,0.010559582006636956
20,75,0.06623979897388795,0.008337288596314201
20,80,0.025674003845566472,0.00761944804907806
25,0,11.700214196466515,11.804365785834296
25,5,11.678175221596376,11.691126858565394
