snr,inr,npath_rate,conv_rate
10,0,8.661087597264812,8.719191008820147
10,5,8.65045937878715,8.407488701564578
10,10,8.606527636395619,7.716824975109075
10,15,8.450705568793632,6.576440953012664
10,20,8.114863340163186,5.156812364106342
10,25,7.376210311217855,3.648547343727909
10,30,6.2076762602981255,2.237918777962366
10,35,4.767579526399238,1.1091348034888966
10,40,3.2819295950101806,0.45554441655792033
10,45,1.931403678372901,0.16102148002046957
10,50,0.9196982293880525,0.05638191266132532
10,55,0.36101984864714387,0.02642054127022849
10,60,0.1377710744587698,0.01941458324087164
10,65,0.0537967063777644,0.01549724162777322
10,70,0.025913149178551937,0.015358535223059262
10,75,0.017881037355555403,0.015003580177778067
10,80,0.015214793009276622,0.014898328719873686
20,0,10.636769868727258,11.717026881073203
20,5,10.66709468599332,11.510577682670288
20,10,10.64612725008461,10.894469747790192
20,15,10.562772274070491,9.8117811359033
20,20,10.436976879303833,8.414603280501753
20,25,10.029965944612432,6.833542067091875
20,30,9.18253183401724,5.166505616723076
20,35,7.9187859169168835,3.512784141996617
20,40,6.41537790402373,2.0258424712130227
20,45,4.8411497168570765,0.9635027844796832
20,50,3.299788114828165,0.38161180336618883
20,55,1.935899745836331,0.14586792296368495
20,60,0.9249338116187185,0.05813539205152596
20,65,0.36124202453039256,0.027990493824992073
20,70,0.1288258467047394,0.018750693204063473
20,75,0.04821852258286669,0.01529246004014119
20,80,0.024259865303277922,0.014522570970856661
30,0,9.99380112885622,10.081114845556463
30,5,9.989022850508945,10.079704146017852
30,10,10.018238266486982,10.085216005944682
30,15,10.041869114084957,10.023052760974391
30,20,9.992634473855384,9.722094100791788
30,25,9.967784936565767,9.089629145143832
30,30,9.867855347682294,7.710844287315083
30,35,9.549780035019912,5.777904526545401
30,40,8.903100531762227,3.8711779241758393
30,45,7.80008747944987,2.403221369220542
30,50,6.361787904249557,1.3911882259946438
30,55,4.802475745693055,0.7382625164190615
30,60,3.2250005963410837,0.3272332905078684
30,65,1.8131819905777278,0.12779807064007037
30,70,0.8303865022989039,0.05706949901250002
30,75,0.312532227090895,0.028088558376625286
30,80,0.11407823696116262,0.017793068427736723
