snr,inr,npath_rate,conv_rate
5,0,5.254342391174381,6.185359290796358
5,5,5.250933692693332,6.010592323341559
5,10,5.250679321137702,5.58035124166703
5,15,5.2195094253774315,4.725331627630226
5,20,5.15203988371159,3.524373232740344
5,25,4.939461013943682,2.2204843225367874
5,30,4.447201349114428,1.1327650037482742
5,35,3.551670119789998,0.47755636985954264
5,40,2.3756434208948285,0.16289009327495063
5,45,1.2898326014987471,0.06169807213983086
5,50,0.5607326457295372,0.028484844346058635
5,55,0.21245730946144842,0.016809192709343782
5,60,0.07809311369176183,0.013363200772296255
5,65,0.032303582228946484,0.01204367254943985
5,70,0.018328617952887205,0.011559534406234147
5,75,0.013980854311089806,0.012825133263129892
5,80,0.012770110313821664,0.011760811944223518
10,0,6.885860051934104,7.825115112133586
10,5,6.895600725038502,7.656968204502232
10,10,6.867400410336151,7.213643158734482
10,15,6.852668422291147,6.358898852517976
10,20,6.773868792356069,5.084432088492058
10,25,6.562951175007118,3.6460753731032938
10,30,6.067264956892263,2.2384879789356447
10,35,5.117950823291576,1.1302669825933322
10,40,3.8320803208745793,0.4516918577917187
10,45,2.4726152423592014,0.15911355085189266
10,50,1.3110206597465701,0.05715850979393297
10,55,0.5647989278204937,0.02680867310246074
10,60,0.2071069399301791,0.01686868700817627
10,65,0.07860397346863042,0.013976561977843891
10,70,0.03441555660938784,0.0136833009071322
10,75,0.01887711973660045,0.012609793553332865
10,80,0.015080082464994756,0.013167645502515476
15,0,8.53445867367936,9.477025251227108
15,5,8.526770341274169,9.298235303823066
15,10,8.533034335926754,8.8703940480534
15,15,8.508772248934974,7.9977762797290435
15,20,8.423118828687887,6.715826898356349
15,25,8.224054988259558,5.215653589205098
15,30,7.711644662459733,3.6654359128178067
15,35,6.754924456153317,2.2132480226832096
15,40,5.427033295756219,1.0926700556634747
15,45,3.948957586394207,0.4226111511394557
15,50,2.506356608602328,0.14578562797256597
15,55,1.3183199183570489,0.05384614556520202
15,60,0.5609484396931611,0.025120332540147394
15,65,0.20802210914450467,0.016695560514903986
15,70,0.07710654707226432,0.01347079915533176
15,75,0.03199008517270351,0.013273926768921092
15,80,0.01788568234622779,0.012309626943801777
20,0,10.169050699692043,11.048078341714033
20,5,10.147725437070793,10.865551060555575
20,10,10.155837567157779,10.468510724848374
20,15,10.136082779789177,9.628561038771124
20,20,10.060655372806481,8.353217676279883
20,25,9.869219286046027,6.829389098157287
20,30,9.350931603590674,5.18371855697204
20,35,8.396710434961681,3.525858260235042
20,40,7.056763060481469,2.039583410709052
20,45,5.539428336680774,0.9612719780817522
20,50,3.974923690467519,0.3851189045040233
20,55,2.5210424195207475,0.14348308357749268
20,60,1.3224633099841867,0.05373319728078553
20,65,0.5601985322127685,0.024587818316869306
20,70,0.20668106328991614,0.016169791671148955
20,75,0.07240869521628965,0.01269254264207501
20,80,0.03118679862866983,0.012383835555345668
25,0,11.702895491028961,11.797891589241729
25,5,11.693074948961781,11.700227557626423
25,10,11.675880956884978,11.429424683219993
25,15,11.66186571831296,10.865423162048641
25,20,11.612294259336498,9.821123227665812
25,25,11.38387495474019,8.360181030274616
25,30,10.934301425008044,6.634488989763742
25,35,10.015019722914147,4.808488697195729
25,40,8.694286431054607,3.0697545478617227
25,45,7.172480421893453,1.7290461088985496
25,50,5.576114710799363,0.8357535040924644
25,55,3.9927653038692266,0.34578617815718937
25,60,2.5176630279984336,0.13508088386432265
25,65,1.3078191170486786,0.05370714576008339
25,70,0.5607368843810274,0.02539848098137064
25,75,0.20028403505873266,0.01610904528046762
25,80,0.07103930342523604,0.013176174231944891
30,0,11.70514645158083,9.71612946673422
30,5,11.720609409798845,9.714433208330941
30,10,11.745323146435345,9.69891354329507
30,15,11.746109003235272,9.64995680199568
30,20,11.70536539662384,9.436089552685578
30,25,11.616993716768713,8.877477871928024
30,30,11.417383472428979,7.65661817094519
30,35,10.92576887634263,5.756898392627242
30,40,10.030120457148804,3.8704623876209343
30,45,8.706670959522956,2.4047755351737763
30,50,7.171176291034336,1.399136423247168
30,55,5.569899118038618,0.7194550693547743
30,60,3.9759548671048806,0.31862525912348694
30,65,2.48208621240172,0.12266504607306818
30,70,1.2641582074851971,0.04936889848537098
30,75,0.5162803044304636,0.023754235690224387
30,80,0.18613354181607333,0.015542035936294003
