snr,inr,npath_rate,conv_rate
10,0,6.880351643831386,7.819840849889867
10,5,6.882609937086726,7.65637796322658
10,10,6.878174332911849,7.217093655072525
10,15,6.860460920537131,6.363857035472465
10,20,6.784323069927436,5.08167000060382
10,25,6.571202619898853,3.6565861504831663
10,30,6.061483902826102,2.2596632630025524
10,35,5.119393532341112,1.1252530268394847
10,40,3.8420956846070604,0.46197392887821337
10,45,2.4738702635589935,0.16535595303464934
10,50,1.3114965215420895,0.0596327555468908
10,55,0.5625028578322838,0.027275205133007633
10,60,0.21047121420740883,0.018132505144264833
10,65,0.07996193517447549,0.017122964939151747
10,70,0.03528687135422364,0.014081645549257615
10,75,0.02126626286274891,0.01579140421260362
10,80,0.01727388761504173,0.015066967495180082
20,0,10.16382382489914,11.05518488137817
20,5,10.188060417233043,10.91933797131834
20,10,10.186820290852786,10.496114738163822
20,15,10.14623431053215,9.635358294588276
20,20,10.057244692261811,8.352540967884401
20,25,9.844834897500522,6.830095063805363
20,30,9.349469746316828,5.182118918941226
20,35,8.415832560906232,3.530872763964142
20,40,7.056004984651356,2.0371049618835886
20,45,5.540861853831352,0.9628803231309346
20,50,3.9874461754459145,0.3853565107316771
20,55,2.5162876716516527,0.1356926212459314
20,60,1.3199549113495492,0.051804250840484706
20,65,0.5655047673644206,0.025716599572759943
20,70,0.20401277956011532,0.017115272977735345
20,75,0.07696111680579881,0.01625345529215482
20,80,0.033726605119766565,0.016981062962100932
30,0,11.779554578039495,9.752869120113473
30,5,11.726334589994421,9.699698359419795
30,10,11.682699701704033,9.627229762426603
30,15,11.698970715942796,9.617873699144555
30,20,11.703680133417219,9.42730751470512
30,25,11.652678717900052,8.91390512374935
30,30,11.447509046619263,7.656510553390476
30,35,10.96523722332833,5.810977663947098
30,40,10.019620046161535,3.8949040481173056
30,45,8.697458807799745,2.412088185721745
30,50,7.173672783135354,1.3937422350764046
30,55,5.576595075978265,0.7263932327086061
30,60,3.9786576582580286,0.3167641826530141
30,65,2.4838449406460903,0.13094173700748896
30,70,1.2728300383185762,0.04999839582856715
30,75,0.5169353976474654,0.0259935204618776
30,80,0.18899996854448417,0.018597455230952242
