snr,inr,npath_rate,conv_rate
10,0,8.140677088396846,8.355884690289436
10,5,8.13988642169643,8.11928898472538
10,10,8.095909757013573,7.517656855002796
10,15,8.019721601260274,6.503598103608634
10,20,7.7888538907795235,5.136667713049857
10,25,7.236177916648732,3.6523493756057634
10,30,6.2211185877396,2.2304477239618556
10,35,4.873161531918921,1.1187281546424137
10,40,3.409719173886176,0.4467420588619291
10,45,2.049516206408029,0.1580888230905787
10,50,1.0133975543486717,0.060201846842650585
10,55,0.40923748666876153,0.030293203631409027
10,60,0.15110300347422395,0.01938275440403347
10,65,0.05751585024343937,0.015949454176120082
10,70,0.02785028810158012,0.015191024153256877
10,75,0.019148583542695698,0.015324571075537868
10,80,0.014928738289412212,0.013009753236533656
20,0,10.785084331177389,11.544183702089812
20,5,10.722708591075254,11.257623168909598
20,10,10.723793956102204,10.751410521655307
20,15,10.70459692368112,9.769172118977217
20,20,10.547186491514008,8.400518699673443
20,25,10.12953125891375,6.829404665857474
20,30,9.327644877222015,5.173226341162546
20,35,8.063946202770351,3.5131222765471324
20,40,6.578844644287145,2.0243270146769685
20,45,4.999465048493848,0.9644645881487413
20,50,3.44800191725367,0.3935303172980384
20,55,2.0585624588642664,0.14065994158899736
20,60,1.00633529691282,0.05463665925954521
20,65,0.40021258550835703,0.02747735093677748
20,70,0.14181968413736554,0.01896374853542085
20,75,0.05602399985078324,0.01638705280753003
20,80,0.026574664191910066,0.015101582963360213
30,0,10.504217269798387,10.043341137619832
30,5,10.572348936024726,10.141226029401762
30,10,10.539100151415715,10.073603073870377
30,15,10.515960601175777,9.96785088513848
30,20,10.462224773320429,9.71481248976762
30,25,10.46088274688615,9.088110856055092
30,30,10.307097374019637,7.721400008096223
30,35,9.986068518970542,5.787101039724223
30,40,9.228215008950556,3.8642441782984718
30,45,8.030811689092754,2.409528483811173
30,50,6.5590539400365495,1.4066711140719388
30,55,4.980697179664864,0.7344242186190266
30,60,3.400696915498501,0.3255036422043016
30,65,1.974850357939367,0.13047389527215475
30,70,0.9216692093512807,0.05555313013414899
30,75,0.35119379423068947,0.027923415632712126
30,80,0.12621039697381822,0.017242362688605135
